datetime,open,high,low,close,volume
2017-05-30,38.355,38.6075,38.3325,38.4175,20126900
2017-05-31,38.4925,38.5425,38.095,38.19,24451200
2017-06-01,38.2925,38.3325,38.055,38.295,16404100
2017-06-02,38.395,38.8625,38.2225,38.8625,27770700
2017-06-05,38.585,38.6125,38.365,38.4825,25331700
2017-06-06,38.475,38.9525,38.445,38.6125,26624900
2017-06-07,38.755,38.995,38.62,38.8425,21069600
2017-06-08,38.8125,38.885,38.6,38.7475,21250800
2017-06-09,38.7975,38.7975,36.505,37.245,64882700
2017-06-12,36.435,36.5225,35.6275,36.355,72307300
2017-06-13,36.79,36.8625,36.2875,36.6475,34165400
2017-06-14,36.875,36.875,35.96,36.29,31531200
2017-06-15,35.83,36.12,35.5525,36.0725,32165400
2017-06-16,35.945,36.125,35.55,35.5675,50361100
2017-06-19,35.915,36.685,35.915,36.585,32541400
2017-06-20,36.7175,36.7175,36.235,36.2525,24900100
2017-06-21,36.38,36.5175,36.1525,36.4675,21265800
2017-06-22,36.4425,36.675,36.28,36.4075,19106300
2017-06-23,36.2825,36.79,36.2775,36.57,35439400
2017-06-26,36.7925,37.07,36.345,36.455,25692400
2017-06-27,36.2525,36.54,35.905,35.9325,24761900
2017-06-28,36.1225,36.5275,35.79,36.4575,22082400
2017-06-29,36.1775,36.2825,35.57,35.92,31499400
2017-06-30,36.1125,36.24,35.945,36.005,23024100
2017-07-03,36.22,36.325,35.775,35.875,14277800
2017-07-05,35.9225,36.1975,35.68,36.0225,21569600
2017-07-06,35.755,35.875,35.6025,35.6825,24128800
2017-07-07,35.725,36.1875,35.725,36.045,19201700
2017-07-10,36.0275,36.4875,35.8425,36.265,21090600
2017-07-11,36.1825,36.4625,36.095,36.3825,19781800
2017-07-12,36.4675,36.545,36.205,36.435,24884500
2017-07-13,36.375,37.1225,36.36,36.9425,25199400
2017-07-14,36.9925,37.3325,36.8325,37.26,20132100
2017-07-17,37.205,37.725,37.1425,37.39,23793500
2017-07-18,37.3,37.5325,37.1675,37.52,17868800
2017-07-19,37.62,37.855,37.4875,37.755,20923000
2017-07-20,37.875,37.935,37.5475,37.585,17243700
2017-07-21,37.4975,37.61,37.22,37.5675,26252600
2017-07-24,37.645,38.11,37.475,38.0225,21493200
2017-07-25,37.95,38.46,37.95,38.185,18853900
2017-07-26,38.3375,38.4825,38.265,38.365,15781000
2017-07-27,38.4375,38.4975,36.825,37.64,32476300
2017-07-28,37.4725,37.5575,37.2975,37.375,17213700
2017-07-31,37.475,37.5825,37.0325,37.1825,19845900
2017-08-01,37.275,37.555,37.1025,37.5125,35368600
2017-08-02,39.82,39.9375,39.04,39.285,69936800
2017-08-03,39.2625,39.3025,38.755,38.8925,27097300
2017-08-04,39.0175,39.35,38.9225,39.0975,20559900
